name,rating,reviews,industry,location
TCS,3.3,(1.2L),IT Services & Consulting,Bengaluru +445 other locations
Accenture,3.7,(74k),IT Services & Consulting,Bengaluru +259 other locations
Wipro,3.6,(65.5k),IT Services & Consulting,Hyderabad +374 other locations
Cognizant,3.7,(61.9k),IT Services & Consulting,Hyderabad +233 other locations
Capgemini,3.6,(53.8k),IT Services & Consulting,Bengaluru +183 other locations
HDFC Bank,3.8,(52.9k),Banking,Mumbai +1854 other locations
Infosys,3.5,(49.2k),IT Services & Consulting,Bengaluru +246 other locations
HCLTech,3.4,(46.3k),IT Services & Consulting,Chennai +231 other locations
ICICI Bank,4.0,(46.2k),Banking,Mumbai +1446 other locations
Tech Mahindra,3.4,(43.6k),IT Services & Consulting,Hyderabad +323 other locations
Genpact,3.6,(42.7k),Analytics & KPO,Hyderabad +181 other locations
TP,3.9,(38.9k),BPO,Mumbai +256 other locations
Jio,4.4,(33.8k),Telecom,Mumbai +1961 other locations
Axis Bank,3.6,(33.5k),Banking,Mumbai +1524 other locations
Concentrix Corporation,3.6,(32.5k),BPO,Bengaluru +183 other locations
Amazon,3.9,(31.7k),Internet,Bengaluru +517 other locations
Reliance Retail,3.9,(27.5k),Retail,Mumbai +1163 other locations
iEnergizer,4.6,(27.2k),BPO,Noida +53 other locations
LTIMindtree,3.6,(26.6k),IT Services & Consulting,Bengaluru +145 other locations
IBM,3.9,(25.9k),IT Services & Consulting,Bengaluru +162 other locations
HDB Financial Services,3.9,(25.9k),NBFC,Mumbai +1094 other locations
Larsen & Toubro Limited,3.9,(24k),Engineering & Construction,Chennai +774 other locations
Deloitte,3.6,(23.4k),Management Consulting,Hyderabad +184 other locations
Kotak Mahindra Bank,3.6,(22.6k),Banking,Mumbai +692 other locations
Reliance Industries,4.0,(20.4k),Oil & Gas,Jamnagar +822 other locations
Vodafone Idea,3.9,(17.7k),Telecom,Pune +707 other locations
Bharti Airtel,3.8,(17.2k),Telecom,Gurugram +795 other locations
BYJU'S,3.2,(16.4k),EdTech,Bengaluru +321 other locations
WNS,3.3,(15.4k),IT Services & Consulting,Pune +66 other locations
IDFC FIRST Bank,3.9,(14.7k),Banking,Mumbai +732 other locations
Ernst & Young,3.4,(14.7k),Management Consulting,Bengaluru +135 other locations
IndusInd Bank,3.4,(14.4k),Banking,Mumbai +799 other locations
AU Small Finance Bank,3.8,(14.3k),Banking,Jaipur +804 other locations
Tata Motors,4.1,(14.2k),Automobile,Pune +506 other locations
Bajaj Finserv,4.0,(13.3k),NBFC,Pune +1203 other locations
Muthoot FinCorp,4.5,(13.2k),NBFC,Bengaluru +1123 other locations
Flipkart,3.9,(13.1k),Internet,Bengaluru +554 other locations
PwC,3.3,(12.8k),Management Consulting,Bengaluru +137 other locations
HDFC Life,3.8,(12.2k),Insurance,Mumbai +717 other locations
Infosys BPM,3.5,(12.2k),BPO,Bengaluru +95 other locations
Mahindra & Mahindra,4.0,(12.1k),Automobile,Pune +568 other locations
DXC Technology,3.6,(12.1k),IT Services & Consulting,Bengaluru +131 other locations
Bandhan Bank,3.7,(11.3k),Banking,Kolkata +1017 other locations
Digitide Solutions,3.5,(10.4k),IT Services & Consulting,Hyderabad +274 other locations
Mphasis,3.3,(10.3k),IT Services & Consulting,Bengaluru +64 other locations
Yes Bank,3.7,(10.3k),Banking,Mumbai +542 other locations
Tata Steel,4.0,(10k),Iron & Steel,Jamshedpur +228 other locations
Quess,3.8,(9.8k),Recruitment,Bengaluru +758 other locations
Asian Paints,3.9,(9.7k),Chemicals,Mumbai +556 other locations
Maruti Suzuki,4.1,(9.6k),Automobile,Gurugram +457 other locations
Startek,3.0,(9.6k),BPO,Bengaluru +104 other locations
